Index,Ground energy
001,-469.0
002,-492.0
003,-460.0
004,-495.0
005,-471.0
006,-460.0
007,-486.0
008,-490.0
009,-477.0
010,-478.0
011,-474.0
012,-485.0
013,-485.0
014,-470.0
015,-465.0
016,-460.0
017,-468.0
018,-473.0
019,-468.0
020,-476.0
021,-480.0
022,-470.0
023,-465.0
024,-448.0
025,-472.0
026,-467.0
027,-476.0
028,-475.0
029,-484.0
030,-492.0
031,-476.0
032,-447.0
033,-473.0
034,-453.0
035,-481.0
036,-465.0
037,-486.0
038,-498.0
039,-466.0
040,-464.0
041,-455.0
042,-481.0
043,-458.0
044,-467.0
045,-446.0
046,-467.0
047,-497.0
048,-478.0
049,-472.0
050,-454.0
051,-470.0
052,-452.0
053,-457.0
054,-476.0
055,-453.0
056,-463.0
057,-480.0
058,-481.0
059,-465.0
060,-460.0
061,-473.0
062,-474.0
063,-459.0
064,-480.0
065,-464.0
066,-476.0
067,-475.0
068,-455.0
069,-488.0
070,-459.0
071,-462.0
072,-465.0
073,-485.0
074,-468.0
075,-474.0
076,-471.0
077,-482.0
078,-461.0
079,-468.0
080,-472.0
081,-471.0
082,-460.0
083,-468.0
084,-476.0
085,-470.0
086,-476.0
087,-472.0
088,-482.0
089,-463.0
090,-467.0
091,-462.0
092,-474.0
093,-466.0
094,-484.0
095,-459.0
096,-468.0
097,-473.0
098,-478.0
099,-463.0
100,-475.0
